,VJ.combi,count.seq,mouseID,analysis_type,filename,path
234,IGHV6-6*01_IGHJ3*01_33_1,3,m14,neg_YFP,IGHV6-6-01_IGHJ3-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV6-6-01_IGHJ3-01_33_1.aln.fasta
300,IGHV1-82*01_IGHJ4*01_24_1,3,m14,neg_YFP,IGHV1-82-01_IGHJ4-01_24_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-82-01_IGHJ4-01_24_1.aln.fasta
301,IGHV3-6*01_IGHJ4*01_54_2,3,m14,neg_YFP,IGHV3-6-01_IGHJ4-01_54_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV3-6-01_IGHJ4-01_54_2.aln.fasta
304,IGHV10-3*01_IGHJ2*01_45_1,3,m14,neg_YFP,IGHV10-3-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV10-3-01_IGHJ2-01_45_1.aln.fasta
370,IGHV1-76*01_IGHJ1*03_51_1,3,m14,neg_YFP,IGHV1-76-01_IGHJ1-03_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-76-01_IGHJ1-03_51_1.aln.fasta
369,IGHV1-64*01_IGHJ1*03_36_1,3,m14,neg_YFP,IGHV1-64-01_IGHJ1-03_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-64-01_IGHJ1-03_36_1.aln.fasta
368,IGHV1-7*01_IGHJ2*01_39_1,3,m14,neg_YFP,IGHV1-7-01_IGHJ2-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-7-01_IGHJ2-01_39_1.aln.fasta
367,IGHV1-54*01_IGHJ1*01_60_1,3,m14,neg_YFP,IGHV1-54-01_IGHJ1-01_60_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-54-01_IGHJ1-01_60_1.aln.fasta
365,IGHV1-26*01_IGHJ1*03_57_1,3,m14,neg_YFP,IGHV1-26-01_IGHJ1-03_57_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-26-01_IGHJ1-03_57_1.aln.fasta
362,IGHV1-7*01_IGHJ2*01_33_1,3,m14,neg_YFP,IGHV1-7-01_IGHJ2-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-7-01_IGHJ2-01_33_1.aln.fasta
357,IGHV1-19*01_IGHJ3*01_36_1,3,m14,neg_YFP,IGHV1-19-01_IGHJ3-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-19-01_IGHJ3-01_36_1.aln.fasta
353,IGHV1-5*01_IGHJ4*01_18_1,3,m14,neg_YFP,IGHV1-5-01_IGHJ4-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-5-01_IGHJ4-01_18_1.aln.fasta
347,IGHV5-6*01_IGHJ2*01_51_1,3,m14,neg_YFP,IGHV5-6-01_IGHJ2-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV5-6-01_IGHJ2-01_51_1.aln.fasta
345,IGHV5-4*01_IGHJ2*02_35_1,3,m14,neg_YFP,IGHV5-4-01_IGHJ2-02_35_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV5-4-01_IGHJ2-02_35_1.aln.fasta
344,IGHV1-53*01_IGHJ3*01_52_1,3,m14,neg_YFP,IGHV1-53-01_IGHJ3-01_52_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-53-01_IGHJ3-01_52_1.aln.fasta
341,IGHV5-12*01_IGHJ1*03_54_1,3,m14,neg_YFP,IGHV5-12-01_IGHJ1-03_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV5-12-01_IGHJ1-03_54_1.aln.fasta
339,IGHV1-59*01_IGHJ2*01_18_1,3,m14,neg_YFP,IGHV1-59-01_IGHJ2-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-59-01_IGHJ2-01_18_1.aln.fasta
334,IGHV10-3*01_IGHJ1*03_51_1,3,m14,neg_YFP,IGHV10-3-01_IGHJ1-03_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV10-3-01_IGHJ1-03_51_1.aln.fasta
328,IGHV5-4*01_IGHJ4*01_45_1,3,m14,neg_YFP,IGHV5-4-01_IGHJ4-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV5-4-01_IGHJ4-01_45_1.aln.fasta
326,IGHV6-3*01_IGHJ2*01_48_1,3,m14,neg_YFP,IGHV6-3-01_IGHJ2-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV6-3-01_IGHJ2-01_48_1.aln.fasta
325,IGHV1-64*01_IGHJ4*01_48_1,3,m14,neg_YFP,IGHV1-64-01_IGHJ4-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-64-01_IGHJ4-01_48_1.aln.fasta
320,IGHV9-3*01_IGHJ1*03_57_2,3,m14,neg_YFP,IGHV9-3-01_IGHJ1-03_57_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV9-3-01_IGHJ1-03_57_2.aln.fasta
318,IGHV9-3*01_IGHJ3*02_45_1,3,m14,neg_YFP,IGHV9-3-01_IGHJ3-02_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV9-3-01_IGHJ3-02_45_1.aln.fasta
